,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
10,Indomitable Archangel,Scars of Mirrodin,3.5,2.48611373459705,1.529467093726,1.28995710791696,1.5,1.82296247736086,1.79476206802954,1.87133095107935,1.92676724823673,1.95742960758563,2.0,1.89975651821041,2.0,2.07285117501895,2.16066045640051,2.07960565270596,1.61501454968063,1.9513190963039,1.58750036058039,1.33526427919245,1.2923413724448,1.1537794204064,1.24052824565188,1.00065658758668,0.902552725700232,0.948623181682285,0.943638066146657,0.85773699686901
11,Nirkana Revenant,Rise of the Eldrazi,9.5,8.64889387659863,9.0466267627067,8.70723502692804,9.69209103466979,12.1898076645296,14.7097422820326,13.822882971773,13.8507568239153,13.8730852178942,14.0923334517559,13.5731756981985,14.4090407545827,14.3757988032065,16.6114068595213,19.500003289517,17.726872314165,20.5464973223332,22.916205925057,21.7908252293511,20.6530045315724,19.8142583944164,21.1928322123963,19.6223634521507,22.1911445148154,24.4914329013701,21.2739813451154,14.3157007821522
12,"Vorinclex, Voice of Hunger",New Phyrexia,4.0,4.00666340737119,3.65506746474587,3.826103928963,4.10211400096611,8.70445116056845,7.83261760882298,8.89910598807984,9.14367722482746,13.2843317389366,14.0574553612548,13.0400998565197,14.6173759947118,16.0153252471814,18.0971405147794,18.5936301793445,20.8693659402337,24.5712575165463,25.6405470244906,23.7715111813215,22.8443049036478,24.7367730595161,28.6470666091492,29.0647311148831,19.9854462652817,16.6512000123713,12.5481317842143,15.8994101120251
13,Kresh the Bloodbraided,Shards of Alara,1.65516242499483,1.46203791153235,1.51304294265134,1.37650754828371,1.61581920185764,1.84833220369115,1.61857312247318,1.65889078521047,2.23005060644399,2.79939517343582,3.47632600428953,2.54178828678676,2.9744366477682,2.81290101453249,2.61621546140055,2.40241055803366,2.5,2.56754628350373,2.99455571688189,2.25265800953637,2.46441364336616,2.56357385127682,2.50621482774172,2.15306846142712,2.44909819007378,3.03350653099517,3.00182094219895,4.6281610495363
14,Dragon Broodmother,Alara Reborn,5.12414649286158,5.80277391971022,6.46835751242772,6.65421631585923,8.06793659268299,9.02277747530528,9.35429077558251,8.82955772743637,10.2763884574883,11.0576247906601,11.9449565125857,11.3224640936825,11.7248578377783,12.8373586670753,17.2881471905152,16.7002348715115,14.4105127073217,14.9087698522349,14.9818902104828,14.5328504760939,14.198950440995,13.2020520830112,13.6166738563501,13.9598751299359,15.4201150460815,18.239857111929,18.9393988981618,16.5156662579316
15,Molten-Tail Masticore,Scars of Mirrodin,1.5,1.36481516461294,1.13623168451717,1.1,1.19788006678023,1.24259436215958,0.829762568036686,1.03911185482473,0.812878127864605,1.22409426619598,1.25789220910801,1.06714662531341,0.945761828490072,0.844086194938628,0.745795457616735,0.8,0.8,0.80175397044698,0.633493110510678,0.634780938854186,0.692341822899305,0.750515469231642,0.8,0.672148975644416,0.801050910368562,0.8,0.688182512409316,0.6
16,Novablast Wurm,Worldwake,1.0,1.20277725308059,1.80507253728315,1.52951782551597,1.73347570742125,1.95998677763086,2.68333119044558,2.00200069334258,2.08118773627073,2.67047735514886,3.06403834260977,2.41714952390614,2.36920948482614,2.52258100937112,2.71321498391877,2.69298280240529,2.7,2.66030803036882,2.7,2.77391339004913,2.53228272326778,2.1314431076609,1.72581815329712,2.12017460756063,2.00285317885747,1.77422705388715,1.80151730031455,1.71110965606733
17,Tezzeret the Seeker,Shards of Alara,7.05690047589489,7.84351770575229,7.66884230206235,6.82891721587007,7.26440944414783,8.03593151035012,8.0333319047415,8.53376178349045,12.2063746695051,13.8011632670273,17.3958308661956,15.2569914056725,15.5481635437588,16.2193567638188,15.485281849386,12.9884090580139,8.00375363742016,7.64472229897762,10.3793401859633,9.21689299844925,11.0132064252831,13.270118764111,12.4970705307947,11.8885886656403,12.0217677636735,13.5335055000567,14.0318187603411,14.2519791902285
18,Kargan Dragonlord,Rise of the Eldrazi,5.6,4.53148201646685,4.12511992927434,4.30843202930156,4.71044458003881,5.91462071800798,5.99738496264232,5.29556060747477,5.72650436745733,7.80000180725069,8.04474927301675,6.91761402339164,7.68305112755193,7.33575138308682,7.36906999162155,6.85109475124673,7.50915909152335,7.61183962946881,8.0,7.71835896172408,7.09249407652321,6.50927689976185,7.84444989117434,6.07499177620758,6.0375431310192,5.74553345910783,5.21878670521282,4.99960237621876
19,Olivia Voldaren,Innistrad,12.0,8.95834120379115,4.36279076508355,4.44879275653924,16.6386079543047,12.0835287058745,9.0154795068501,6.52467432899105,5.73838551807211,5.92047916239955,5.81293898603929,5.08888896940535,5.82358706429716,5.80215003467798,13.7147086910693,16.5627166146923,16.9970022252453,18.6085441913709,10.7591265300628,9.51715387179524,7.22762817683042,5.28366220270312,3.5820251377478,4.62256674429927,6.93018045207615,6.73486376148208,7.15697376315933,5.80615543042179
