,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
10,Sundering Titan,Darksteel,3.0,3.0,3.26063203814548,2.26264954999458,2.50169492961805,2.6,2.4614323061758,2.13777783703783,2.55075606633384,2.91887492620393,4.06447782207661,4.01835533848317,5.90480173560793,6.35967031726318,6.51170415949693,7.92280819484467,8.21861503256786,8.6710529085909,8.4634683987346,6.42246554297888,5.59594996351319,4.36615274384272,4.35980117257201,3.52499901314491,3.35675952035604,2.40412684666852,2.23272786777941,1.7593227300325
11,Braid of Fire,Coldsnap,6.5,6.5,6.49227162712503,6.87510090483018,6.40903566979381,7.55999233324815,9.37333961913742,8.79043053907385,8.27840362426988,9.71968336967915,9.47960894222292,7.56331323642372,8.17698455071653,8.4086033645704,9.78707465833025,12.1083277411545,12.6561577131326,13.0,12.690710006827,12.3707771127118,11.5987981873711,9.77748481943113,11.0706121688661,10.7427571415413,11.5878323228137,14.5467303786637,15.5909152893689,16.9287509375112
12,Thalakos Drifters,Exodus,0.2,0.266481294236603,0.498309395788345,0.5,0.5,0.5,0.42880969728139,0.33955586074481,0.402651535238903,0.4,0.4,0.385990376672126,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35105136082307,0.3,0.3,0.3,0.3,0.3,0.3,0.3
13,Wood Sage,Tempest,0.54827229464101,0.53240758230647,0.5,0.483333534138966,0.5,0.5,0.5,0.5,0.438383624118365,0.443574018964084,0.5,0.397101407266772,0.487994389782964,0.5,0.396396363931207,0.49451769102225,0.5,0.5,0.5,0.5,0.407807277543041,0.4147774719327,0.403267711131591,0.381797786812984,0.479579545761674,0.380756502644357,0.470605829196894,0.36349242252884
14,True Believer,Onslaught,1.8,1.73907432304803,2.5381621472775,2.03112145929469,2.0,1.79907387859865,1.8135737653395,1.72422232296431,1.74835907847787,1.84337341413752,1.82192989381439,1.68309033464253,1.80819244230883,1.66101791964387,1.56156046450869,1.63486559033672,2.0,2.0,1.27051221646362,1.17971057551559,1.1746254470761,0.891924143547872,1.12941136100708,1.21359688943276,1.32177136730962,1.14450200517531,1.06333296969036,1.1
15,Muse Vessel,Dissension,0.4,0.480370337448194,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.387680980883781,0.488841854591988,0.5,0.41906864025802,0.5,0.305705456805917,0.3,0.3,0.3,0.387386823304714,0.401546407694925,0.4,0.4,0.475525455184281,0.38178744110764,0.3,0.2
16,Undead Gladiator,Onslaught,1.0,1.25203557817309,1.2765713995855,1.25642357136833,1.12994305036483,1.18296314403493,1.22809682995471,1.17155562074161,1.2,1.18995951758455,1.14057224437164,0.666185017174162,0.893644437664726,0.9,0.891291362985252,0.804166502190818,0.992492725159686,1.0,1.12852527428148,1.24975869215496,1.06936864296075,0.841235476654398,0.737911527677013,0.916008763273201,0.9,0.78178744110764,0.573334060619284,0.448807723901475
17,"Isamaru, Hound of Konda",Champions of Kamigawa,3.5,3.29722274691941,3.40966390817258,3.20682960035663,3.0,3.0,3.13428620408863,3.37244496593288,3.13320593337828,3.31044410173617,3.34868156159949,2.72487065029928,3.39180840515598,3.42553831513411,4.54864278056559,4.86271924630587,5.78108316291138,6.30723364781116,5.15576640160002,4.7514456731257,4.90000180181803,4.25533046732441,3.69934802643189,3.3085481387913,3.40420364147425,5.2487798843287,12.4333078783251,10.7722294313028
18,Death Pits of Rath,Tempest,0.60862818125388,0.88407482305359,0.559661009579849,0.6,0.566666666666667,0.575925843620485,0.6,0.6,0.6,0.6,0.6,0.414733546862998,0.601271197213536,0.6,0.6,0.597367728522744,0.603753637420157,0.6,0.4455129376244,0.570772764822679,0.525526806547807,0.488658645965422,0.447384262436518,0.43420966065343,0.689339093144983,0.680756502644357,0.6,0.6
19,Thoughts of Ruin,Saviors of Kamigawa,0.6,0.73518483538706,0.509419701734808,0.5,0.5,0.5,0.575476078229689,0.6,0.498106046257926,0.5,0.5,0.324638762880621,0.34562072559937,0.5,0.386937269705132,0.3,0.492492725159686,0.5,0.405929383936384,0.4,0.418918638906657,0.371649707728946,0.488560560010981,0.397149304596113,0.528979089901711,0.44759482056516,0.336667030309642,0.2
20,Pillar Tombs of Aku,Visions,0.5,0.5,0.5,0.414056193448114,0.4,0.4,0.4,0.42866638221843,0.673989954469352,0.524297280690129,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.398453592305075,0.397385242847899,0.364254134922828,0.610961360012252,0.534536953989216,0.816363024782269,0.501983952189907
21,"Yukora, the Prisoner",Betrayers of Kamigawa,0.4,0.46759241769353,0.5,0.420682176893697,0.5,0.398333314814609,0.828575408220117,0.748668648915319,0.565278524837309,0.4,0.4,0.396135451238424,0.4,0.4,0.381530914692925,0.403508598797353,0.4,0.4,0.4,0.4,0.351952269840269,0.349828348745863,0.3,0.431139883419519,0.322222272272723,0.3,0.3,0.3
22,Storm Spirit,Ice Age,0.4,0.247407748974989,0.495169495210075,0.5,0.5,0.5,0.444524207488678,0.314222189629195,0.458080743035932,0.5,0.414035053092804,0.4,0.4,0.4,0.342492725159686,0.491666995618363,0.414114091117938,0.4,0.4,0.4,0.382583176425013,0.394845307683584,0.4,0.594078211555415,0.659459995135091,0.505841297332962,0.6,0.395238633793259
23,Moratorium Stone,Guildpact,0.5,0.37703752263914,0.357245032536703,0.414055591031217,0.5,0.397037744863832,0.463571622451749,0.5,0.658838324532762,0.7,0.7,0.456279801156538,0.416242934262155,0.4,0.374925449778827,0.3,0.492492725159686,0.5,0.405929383936384,0.4,0.358258632960657,0.3,0.3,0.3,0.401801818034397,0.34089372055382,0.3,0.2
