,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
10,Murderous Spoils,Darksteel,0.2,0.2,0.104589196944883,0.221284593790287,0.181779930338393,0.200555561728464,0.2,0.2,0.174494882536989,0.179919637585995,0.144298609192226,0.148309395788345,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.199699096388256,0.154123753853133,0.288562520833742,0.289035382044501,0.190090000810818,0.2,0.2,0.26765854355409
11,Metamorphic Wurm,Odyssey,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.47499901314491,0.334984999864864,0.3,0.3,0.3
12,Sylvan Echoes,Lorwyn,0.2,0.368518539094879,0.304589196944883,0.201405438619742,0.2,0.2,0.2,0.13955586074481,0.221591072659641,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.34654636528257,0.341409189785462,0.3,0.246627340801676
13,Phyrexian Prowler,Nemesis,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.225504738672263,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.251501364877161,0.3,0.324182827114257,0.2,0.2,0.2,0.2,0.2
14,Wakedancer,Dark Ascension,0.188460650819294,0.2,0.2,0.262449547584911,0.188418545919881,0.225555283947599,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.198387070759206,0.2,0.2,0.110360003243272,0.1,0.194070616063616,0.2,0.276876818710078,0.354983041062279,0.3,0.478069448282214,0.562463175343922,0.2,0.250605465553919,0.3
15,Mogg Alarm,Nemesis,0.3,0.3,0.443478166350237,0.448995771033386,0.5,0.397037744863832,0.400476435377648,0.476444352591368,0.428156273911166,0.398192749310233,0.447587468256161,0.5,0.367655234366393,0.4,0.409308642420202,0.5,0.331831367850161,0.4,0.4,0.4,0.346245912125334,0.298969061536717,0.3,0.3,0.3,0.404810358869679,0.43363788432517,0.246627340801676
16,Decomposition,Mirage,0.2,0.2,0.295410803055117,0.282731117242376,0.3,0.3,0.3,0.3,0.225125947923848,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
17,Quest for Renewal,Worldwake,0.110345541071798,0.23518483538706,0.206038493311497,0.212650152411475,0.14788133797744,0.185184279825331,0.11571379591137,0.1,0.208837945742013,0.212248942758346,0.2,0.2,0.28615793354181,0.299193535379603,0.3,0.3,0.3,0.3,0.495833133010894,0.638648386208496,0.480330453427508,0.437800905163971,0.382353575560305,0.503071750944091,0.4,0.575772430643615,0.636670666739395,0.908920939534994
18,Bloodshot Trainee,Future Sight,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.185999813330844,0.299495071932363,0.198795166206822,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.293642717966165,0.441502774564207,0.209429729338544,0.2,0.2,0.276362297496318,0.293254681603352
19,Soul Exchange,Fallen Empires,0.4,0.4,0.501449296366614,0.404417523102688,0.4,0.4,0.4,0.310222136295151,0.482449867044447,0.4,0.4,0.331641038275917,0.328672700616107,0.2,0.34279362877143,0.2,0.397147271597041,0.4,0.211858767872768,0.26062769025638,0.371921819115488,0.413231064237776,0.296732288868409,0.479824076632587,0.500300453157236,0.459621748677821,0.384243349879089,0.3
20,Zombie Brute,Legions,0.3,0.240741008233425,0.2,0.2,0.2,0.2,0.148809982999757,0.142444565927546,0.232701762892143,0.166265256207906,0.1,0.1,0.1,0.1,0.1,0.206139554467822,0.20195181938576,0.2,0.2,0.2,0.2,0.2,0.2,0.432237924183213,0.221771817764124,0.2,0.304847360861107,0.33234145644591
21,Savage Twister,Guildpact,0.274136147320505,0.3,0.494926738068668,0.299798792756539,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.199275351816693,0.2,0.2,0.219069090712529,0.2,0.297147271597041,0.3,0.3,0.3,0.3,0.3,0.3,0.494736114948881,0.867418625393022,0.2,0.310909289259805,0.2
22,Presence of the Master,Legends,1.5,1.6000038889321,1.85217684314265,2.07791238448656,2.43163840371529,2.43074200824454,2.20023786054087,2.3408885451806,2.25530004015182,2.24819515897782,2.26139883419519,2.19008971144509,1.83474520970517,1.90026935918321,2.22898044126524,2.0,1.41981909746935,1.79056895485467,2.0,2.60627690256381,1.92492229659727,2.60927844616955,2.77025627953489,3.19385715601521,6.17235425544374,9.47354869637831,8.32999872724959,9.23413671591329
23,Blue Mana Battery,Legends,0.6,0.642224358048423,0.789614342236844,0.720080362414005,0.7,0.7,0.7,0.7,0.616414139501057,0.784135953445222,0.633552415163357,0.750482615690082,0.675847252942821,0.751343570057582,0.628979089901711,0.6,0.637237272407859,0.6,0.6,1.03381280888129,1.09429364228507,0.89055144898401,0.817644463616934,0.982018184449795,1.00420229011072,1.17130640522067,1.40484372443135,1.78829628924154
24,Dragonsoul Knight,Conflux,0.2,0.115185168724097,0.41908143596284,0.189155893444499,0.2892655869965,0.197037744863832,0.29404777211103,0.3,0.3,0.198192749310233,0.198245371649627,0.214009623327874,0.258756853871643,0.199193535379603,0.214564545626537,0.295833497809182,0.107507274840314,0.1,0.240384522928105,0.198550703633386,0.190540905773926,0.255670161548057,0.3,0.229166173239122,0.25690726943486,0.1,0.287271586756123,0.253372659198324
25,Mouth of Ronom,Coldsnap,0.3,0.3,0.632851925390223,0.5,0.5,0.5,0.424523921770311,0.309555460739476,0.400126137319222,0.393975831034109,0.4,0.428743170190872,0.395198264392071,0.349195148308844,0.303452733808413,0.303508598797353,0.492492725159686,0.5,0.447756709199127,0.4,0.35150181533167,0.329038443695296,0.346732288868409,0.475658232345162,0.493843638230975,0.5,0.5,0.353372659198324
26,Mantle of Leadership,Planar Chaos,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.187121114553898,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.275075000675682,0.3,0.392810643345948,0.3,0.3,0.3,0.3,0.3
27,Pain Magnification,Dissension,0.2,0.291110456782853,0.4,0.271686405860312,0.3,0.3,0.3,0.3,0.405177311949333,0.359438065518862,0.411402781615548,0.385507760982043,0.292655869965,0.2,0.302702727051595,0.3,0.3,0.3,0.400480773853595,0.378984478035914,0.359158641068838,0.441065371807957,0.621241592972411,0.5,0.570120001081091,0.636083361684141,0.5,0.560117977594971
28,Towering Baloth,Onslaught,0.289654458928202,0.3,0.424398179683764,0.194980060000723,0.2,0.2,0.148809982999757,0.1,0.182071076296033,0.1,0.1,0.1,0.1,0.1,0.1,0.206139554467822,0.203753637420157,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
29,Urza's Factory,Time Spiral,0.3,0.334630384782053,0.433334541080306,0.455221749659635,0.381214671310774,0.4,0.298571408162974,0.3,0.429166508837188,0.372288822756901,0.472806879037882,0.321737996202844,1.71341918151849,1.24031516637365,0.94069406030685,0.3,1.93618816385733,2.0,1.15336445542746,1.03913172654676,0.655257254569861,0.983161682079197,1.1,1.26863445571652,1.2183186335012,0.668043484984381,0.3,0.2
30,Strength of Cedars,Champions of Kamigawa,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
31,Jwar Isle Refuge,Zendikar,0.3,0.3,0.770532906274004,0.597389727587079,0.750989415164535,0.568147979421994,0.71142873469621,0.772444299257323,0.651767437632103,0.616665863444138,0.620833168857485,0.640096957926926,0.451412723836643,0.3739245794287,0.432433175073649,0.453947420360794,0.307507274840314,0.423683864261372,0.5,0.5,0.396396363931207,0.470963102712399,0.393791054726563,0.4,0.4,0.4,0.48939617083947,0.3
32,Tainted Sigil,Alara Reborn,0.3,0.23240758230647,0.368599544920941,0.203815106206099,0.2,0.173332481472016,0.127856826526093,0.1,0.299747725361556,0.211044108965168,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.348280910112475,0.392811623757329,0.841226200344741,1.09249407652321,0.441409189785462,0.4,0.602380980725961
33,Primoc Escapee,Legions,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.197619965999514,0.1,0.178282790021137,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.258858638366111,0.3,0.318300358830565,0.3,0.3,0.3,0.3,0.3
34,Darba,Prophecy,0.1,0.1,0.316666183567878,0.20983927517199,0.2,0.2,0.2,0.2,0.213889120372124,0.2,0.2,0.141546254293541,0.200847464809024,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
35,Pit Raptor,Prophecy,0.1,0.16759241769353,0.174638038232438,0.199396980686514,0.3,0.3,0.3,0.3,0.235732088879461,0.3,0.3,0.199275351816693,0.282909600928821,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.231797786812984,0.3,0.3,0.3,0.3
36,Shifting Wall,Stronghold,0.8,0.8,0.990821606110233,0.607630814829094,0.73841939338469,0.677406971188569,0.715475935370505,0.640222536300484,0.500504928067637,0.414056193448114,0.4,0.4,0.311581877812524,0.3,0.3,0.409868550901986,0.303753637420157,0.3,0.3,0.3,0.3,0.390721553830452,0.495097943096923,0.3,0.3,0.405841297332962,0.564242077128675,0.46349242252884
37,Animate Land,Nemesis,0.3,0.23851876131957,0.2,0.2,0.2,0.2,0.2,0.2,0.275757770892204,0.225502114483307,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
38,Riftstone Portal,Judgment,0.5,0.37703752263914,0.3,0.3,0.3,0.3,0.375476078229689,0.476444352591368,0.395454511019023,0.439760117591778,0.375438492611745,0.287680256235598,0.380932465529369,0.3,0.3,0.3,0.364264092469302,0.4,0.544871104529851,0.713526282989608,0.627778628636294,0.521133723028072,0.543788113492421,0.599780918169976,0.6,0.6,0.6,0.706745318396648
39,Rainbow Crow,Invasion,0.2,0.2,0.55265800953637,0.109035048615044,0.1,0.202962255136168,0.210238003400049,0.2,0.203282979416511,0.2,0.2,0.141546254293541,0.200847464809024,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.509908197371148,0.362199094836029,0.354904017725838,0.462279766839037,0.6,0.6,0.6,0.39702436933773
40,Septic Rats,Mirrodin Besieged,0.2,0.2,0.104589196944883,0.224899095169821,0.212429342621548,0.176852520583562,0.201428591837026,0.2,0.288762793657528,0.16807130206388,0.225219410781721,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.298684851116462,0.348648186019694,0.451889710203198,0.347576319569447,0.3
41,Killer Whale,Exodus,0.131036623215394,0.1,0.471980753344251,0.6,0.280226103611048,0.251481127568084,0.3,0.3,0.216792551458723,0.3,0.3,0.199275351816693,0.2,0.2,0.27057045558969,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
42,Strandwalker,Mirrodin Besieged,0.2,0.2,0.22632791779591,0.262449547584911,0.188418545919881,0.191481572017467,0.124999642852041,0.220666275550341,0.339393859044387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.491409189785462,0.5,0.416227187199832,0.450000450454509,0.2,0.152725504100075,0.3
43,Soultether Golem,Future Sight,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.197999973332978,0.217171720997886,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.264714546977901,0.26769760512995,0.488565462067884,0.245832839905788,0.287537725565095,0.2,0.2,0.3
44,Cleansing Meditation,Torment,0.2,0.26759241769353,0.62826490238989,0.553214496560199,0.4,0.348518872431916,0.348333547622109,0.411333484446459,0.371212660701975,0.40823202689189,0.430481980026053,0.422704676879375,0.5,0.41478410942112,0.5,0.5,0.442942729213777,0.392105159278412,0.475801209627016,0.398550703633386,0.422222272272723,0.483848802564975,0.343791054726563,0.496709825129278,0.66171136676907,0.589002463942927,0.636667030309642,3.0591233228967
45,Liege of the Axe,Legions,0.2,0.2,0.295410803055117,0.3,0.3,0.3,0.3,0.185999813330844,0.195580648338245,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.275075000675682,0.3,0.373858310947274,0.3,0.307507725294823,0.2,0.2,0.26765854355409
46,Ore Gorger,Champions of Kamigawa,0.2,0.299814997944422,0.3,0.3,0.3,0.3,0.182856897955685,0.2,0.298358699687119,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.404203641474248,0.347594820565161,0.3,0.3,0.525225902936063,0.25910627944618,0.3,0.3
