cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Shelldock Isle,Lorwyn,0.5,0.5,0.954107305902984,0.6602404848251179,0.840536784210036,0.825555283947599,0.807380819725996,0.8,0.851009856135274,0.815260424824396,0.9736858379715521,0.895652110900158,0.9,1.04274343134567,0.90285227794845,1.65921064750852,2.3306304561302404,2.74605192173581,5.20881018086712,7.124390933201929,6.478833142640929,5.34192826730172,5.7147081315319905,5.34385649811182,5.56560689735944,6.1816101196919595,5.788774341351661,6.4134906367933
Mossfire Valley,Odyssey,1.6,2.0420354670607503,2.06183495412977,1.74317280931096,1.6018356087763501,1.66666796297737,1.40857083672624,1.4384425125668303,1.80921673649043,2.20963746551163,2.13596626271398,1.6840541167263303,2.01243019008636,2.34461604219423,2.8585581852088797,3.0,3.31186136812043,3.21337451808576,3.09711583765229,2.7565218336497597,2.5114086613392903,2.65600727842555,3.1748485264417003,3.37367991684101,4.10570545680592,4.72955442839617,3.8709076528664204,4.835318277598541
Triskelion,Mirrodin,0.5,0.5,0.5695626023565561,0.46405498861432104,0.5,0.5,0.575476078229689,0.49799997333297796,0.5,0.5,0.5,0.357004449339846,0.4939266434461311,0.5,0.43438409355039204,0.45811392255161204,0.5,0.5,0.5,0.5,0.5,0.578178641016918,0.6,0.628947091409097,0.6109613600122521,0.5524051794348399,0.7266659393807159,0.9067453183966481
Wave of Terror,Weatherlight,0.4,0.29425938065978496,0.352656560240003,0.5937752262075451,0.6,0.497037744863832,0.5,0.39466659555460704,0.3124997159069389,0.3,0.46052645429545097,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.41546500418922705,0.411684141073619,0.4,0.513375833892551,0.562612726240777,0.6067011000113399,0.6,0.658532839676663
Mortuary,Stronghold,0.5,0.5,0.5,0.5,0.5,0.5,0.575476078229689,0.497333297777304,0.301009856135274,0.45662658586247995,0.5,0.5,0.5,0.5,0.406005459508644,0.5,0.5,0.5,0.5,0.5,0.5,0.415635212734152,0.5,0.39780720798957897,0.47372363714988397,0.798108743389107,0.925154093710795,0.541865974594936
Oath of Ghouls,Exodus,0.5,0.43759319547995,0.7432354092088291,0.771888817937565,0.7963279349824999,0.6455566172957479,0.6669038129116129,0.6364444859264791,0.6599743179872571,0.5357425993084249,0.5,0.32463876288062105,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.444444544545446,0.38969061536716904,0.468300358830565,0.919737759707364,1.51891908936117,1.14261281044134,3.97393043509882,5.2906701270253205
Spearbreaker Behemoth,Shards of Alara,0.474136147320505,0.5,0.8529000420295949,0.7572277979252758,0.991807981423571,1.0,0.9259517993114191,1.0,1.4271441450314,2.03574320172532,1.8004361899498702,1.7004826156900803,1.77627310400936,1.44489265955903,1.45435048964405,1.99583349780918,2.29879818737106,2.57148909854077,2.4169823748305297,2.14009623327874,2.26471544788692,1.59433035392117,1.13496539147826,1.53443268990381,1.53257957278894,1.9936427179661598,1.62908871070383,2.11349063679329
Psychic Trance,Onslaught,0.4,0.322221913576818,0.4,0.41686707068759904,0.41539546945313105,0.4,0.4,0.316888891851891,0.426894143137448,0.4,0.4,0.28309250858708096,0.3943503758506429,0.4,0.39444454454544603,0.4,0.4,0.4,0.4,0.4,0.41891863890665704,0.5,0.340195886193847,0.3800444742693979,0.44744727429976794,0.44089372055382,0.33666703030964196,0.3
Call of the Herd,Odyssey,1.5,1.5,1.4577312714677,1.05562235689587,1.1632768074305702,1.2124079156435101,0.9790482721181729,1.07533367111561,1.00833339646512,0.9,0.831798444716378,0.900724648183307,0.9,0.9,0.888138181425058,0.828508927749049,0.9256759069901529,0.9,0.8477567091991272,0.901449296366614,0.8506009063144709,0.7515453767564609,0.609800192160631,0.795616389689338,0.7244745448157192,0.571649192259714,0.6,0.439086774842558
Chromescale Drake,Darksteel,0.5,0.5,0.44734343975999696,0.470079759997108,0.5,0.397037744863832,0.463571622451749,0.5,0.5,0.39879516620682204,0.45504348741430795,0.412559602313077,0.5,0.5,0.345195452211281,0.3,0.49249272515968606,0.5,0.40592938393638395,0.4,0.4,0.37680336910689793,0.308169768034667,0.3,0.379879548464401,0.5,0.5,0.36468291289182
Magus of the Unseen,Ice Age,1.0,0.965371281903132,0.8425129349700721,0.865260424824395,0.775423944270714,0.949259436215958,0.8364276632523321,0.9,0.766288002181835,0.7,0.7,0.5893701357990699,0.529943050364834,0.571505185567509,0.63678681789926,0.7916669956183628,0.559609095577438,0.6,0.7881412321272321,0.8,0.817867278083586,0.8202744358189259,0.451304927547599,0.46842129501704,0.588438634582294,0.5,0.5,0.38511887046274396
Teleport,Chronicles,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29733263110174796,0.48093432526004004,0.41867432137736604,0.368201555283622,0.385991825968492,0.2,0.36505266213971205,0.397297272948405,0.495833497809182,0.5,0.5,0.5,0.39855070363338596,0.464714546977901,0.37079145145826203,0.41307182493774397,0.305921130541191,0.44744727429976794,0.37216517696058704,0.3,0.3
"Thada Adel, Acquisitor",Worldwake,0.5,0.5,0.3565218336497629,0.35602356654899503,0.4,0.4,0.460000142859184,0.416888891851891,0.4,0.463052566898396,0.4,0.5847838374469201,0.415819201857643,0.500806464620397,0.6366368165478969,0.6,0.88723727240786,1.14692759115252,1.959776055539,1.8553138451281899,1.73047955386985,1.21426200270106,1.27940645895018,1.8322366083764299,1.6297308984765602,1.86082382292601,2.1257577410498403,3.11408052476815
