cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Indomitable Archangel,Scars of Mirrodin,3.5,2.48611373459705,1.529467093726,1.28995710791696,1.5,1.8229624773608601,1.7947620680295402,1.87133095107935,1.9267672482367302,1.95742960758563,2.0,1.89975651821041,2.0,2.07285117501895,2.16066045640051,2.07960565270596,1.61501454968063,1.9513190963039,1.58750036058039,1.3352642791924498,1.2923413724448,1.1537794204064,1.2405282456518798,1.00065658758668,0.902552725700232,0.9486231816822851,0.943638066146657,0.8577369968690101
Nirkana Revenant,Rise of the Eldrazi,9.5,8.64889387659863,9.0466267627067,8.70723502692804,9.692091034669788,12.1898076645296,14.7097422820326,13.822882971773,13.850756823915301,13.873085217894198,14.0923334517559,13.573175698198499,14.409040754582698,14.375798803206502,16.6114068595213,19.500003289517,17.726872314165,20.5464973223332,22.916205925057,21.7908252293511,20.6530045315724,19.8142583944164,21.1928322123963,19.6223634521507,22.1911445148154,24.4914329013701,21.2739813451154,14.3157007821522
"Vorinclex, Voice of Hunger",New Phyrexia,4.0,4.00666340737119,3.65506746474587,3.826103928963,4.102114000966109,8.70445116056845,7.8326176088229795,8.89910598807984,9.143677224827462,13.2843317389366,14.057455361254801,13.0400998565197,14.6173759947118,16.0153252471814,18.097140514779397,18.593630179344498,20.8693659402337,24.5712575165463,25.6405470244906,23.7715111813215,22.8443049036478,24.7367730595161,28.6470666091492,29.064731114883102,19.9854462652817,16.6512000123713,12.5481317842143,15.899410112025098
Kresh the Bloodbraided,Shards of Alara,1.6551624249948302,1.46203791153235,1.51304294265134,1.37650754828371,1.6158192018576398,1.84833220369115,1.61857312247318,1.65889078521047,2.23005060644399,2.7993951734358196,3.47632600428953,2.5417882867867596,2.9744366477682,2.8129010145324904,2.6162154614005497,2.40241055803366,2.5,2.56754628350373,2.9945557168818904,2.25265800953637,2.4644136433661603,2.5635738512768196,2.50621482774172,2.15306846142712,2.4490981900737796,3.03350653099517,3.00182094219895,4.6281610495363
Dragon Broodmother,Alara Reborn,5.1241464928615805,5.80277391971022,6.46835751242772,6.654216315859231,8.06793659268299,9.02277747530528,9.35429077558251,8.82955772743637,10.2763884574883,11.0576247906601,11.9449565125857,11.322464093682498,11.724857837778302,12.8373586670753,17.2881471905152,16.7002348715115,14.410512707321699,14.9087698522349,14.9818902104828,14.5328504760939,14.198950440994999,13.202052083011198,13.6166738563501,13.9598751299359,15.4201150460815,18.239857111929,18.9393988981618,16.5156662579316
Molten-Tail Masticore,Scars of Mirrodin,1.5,1.36481516461294,1.1362316845171698,1.1,1.1978800667802298,1.24259436215958,0.8297625680366859,1.03911185482473,0.812878127864605,1.22409426619598,1.25789220910801,1.06714662531341,0.9457618284900721,0.8440861949386279,0.7457954576167349,0.8,0.8,0.80175397044698,0.633493110510678,0.634780938854186,0.6923418228993051,0.750515469231642,0.8,0.6721489756444161,0.801050910368562,0.8,0.688182512409316,0.6
Novablast Wurm,Worldwake,1.0,1.20277725308059,1.80507253728315,1.52951782551597,1.7334757074212501,1.9599867776308602,2.68333119044558,2.00200069334258,2.08118773627073,2.67047735514886,3.0640383426097704,2.41714952390614,2.3692094848261402,2.52258100937112,2.71321498391877,2.69298280240529,2.7,2.66030803036882,2.7,2.7739133900491297,2.53228272326778,2.1314431076608997,1.72581815329712,2.12017460756063,2.0028531788574697,1.77422705388715,1.8015173003145502,1.71110965606733
Tezzeret the Seeker,Shards of Alara,7.0569004758948894,7.843517705752291,7.668842302062349,6.828917215870071,7.26440944414783,8.03593151035012,8.0333319047415,8.53376178349045,12.2063746695051,13.801163267027302,17.3958308661956,15.2569914056725,15.5481635437588,16.2193567638188,15.485281849386,12.988409058013898,8.003753637420159,7.64472229897762,10.3793401859633,9.21689299844925,11.013206425283101,13.270118764110999,12.4970705307947,11.888588665640302,12.021767763673502,13.533505500056698,14.031818760341102,14.2519791902285
Kargan Dragonlord,Rise of the Eldrazi,5.6,4.53148201646685,4.12511992927434,4.30843202930156,4.71044458003881,5.91462071800798,5.997384962642321,5.295560607474769,5.726504367457331,7.80000180725069,8.04474927301675,6.91761402339164,7.68305112755193,7.335751383086821,7.369069991621551,6.85109475124673,7.509159091523349,7.611839629468809,8.0,7.71835896172408,7.092494076523209,6.50927689976185,7.8444498911743406,6.074991776207581,6.0375431310192,5.745533459107831,5.21878670521282,4.99960237621876
Olivia Voldaren,Innistrad,12.0,8.95834120379115,4.36279076508355,4.44879275653924,16.6386079543047,12.0835287058745,9.015479506850099,6.52467432899105,5.738385518072111,5.920479162399549,5.81293898603929,5.08888896940535,5.82358706429716,5.80215003467798,13.7147086910693,16.562716614692302,16.997002225245303,18.608544191370896,10.759126530062801,9.51715387179524,7.227628176830421,5.28366220270312,3.5820251377477996,4.622566744299269,6.93018045207615,6.73486376148208,7.15697376315933,5.80615543042179
Progenitus,Conflux,14.8,14.9120251336126,18.3038717952434,18.0993957758527,18.0,20.2796003288925,17.649009985856896,15.2400232003093,13.7626288835521,13.8791244472825,12.496264424531901,11.4031297555037,12.007481419334098,12.133324731043999,12.745037793133301,13.0934268871959,12.363360030270501,13.3708331688575,13.493270127597402,14.588886795460802,13.026871863710499,14.7247471623419,15.469959214886599,15.3541691338044,13.169529004765801,10.602240744749901,10.2727185948835,9.15219288324861
Sword of Feast and Famine,Mirrodin Besieged,35.0,32.709274547495,25.468838678821395,17.0403757876601,13.0374240459665,13.948152201691101,18.5908741553451,22.7034807130762,24.848603777301303,26.9957728406366,33.113117935762304,26.220332903375397,17.675429452792002,15.651587122372902,20.198940080541302,18.0901307911946,17.0375363742016,17.2519796313109,18.2684280618083,17.991041174509803,18.2905251398661,21.423890452478897,23.4852987313477,23.9388077474704,25.952994171118696,31.0944803554676,33.286300660012,39.0674531839665
Quicksilver Gargantuan,Scars of Mirrodin,0.5,0.63518483538706,0.745895592689749,0.7793160158556129,0.701977559131857,0.880000888898765,0.807142244889213,0.8560000800010671,0.9782827900211372,1.0789123965349001,1.1688594586770902,0.9789844780359129,1.0320621361198001,1.0,1.0,1.0,1.0,0.510963960052106,0.708973163203492,0.8654589196944878,0.704354994189137,0.612715079536902,0.657190337065433,0.463377807602732,0.617716826277714,0.8,0.8593956253750071,0.7
Batterskull,New Phyrexia,16.0,17.4372193024367,14.341784663545802,8.46365438137809,7.7251358062356505,12.1857409526773,13.7728560408006,14.232002426699,14.8741168493701,23.6024199086736,25.8570211450151,21.596628212003104,18.807348367358998,18.5188228842401,18.1578068270885,17.0374952302004,19.9061590644961,18.3502085553757,19.9477567091991,18.9874302526124,16.0454914008234,17.3314451695378,18.7650591188063,22.101528967486402,20.038147640969697,17.7092722605388,17.347877234131502,18.8257800688103
Sarkhan Vol,Shards of Alara,15.0,16.714819053545,14.787438948390601,14.872480993746901,16.2951952982652,20.349990555450603,21.7188624123202,15.694891265216901,18.395446177622603,16.3319473728599,14.5863991631469,11.897815910375499,12.4206222086628,12.458874336682902,12.5234222830836,12.6850892774905,12.161413616338901,11.6405636916275,12.063463590996099,11.368591573790901,11.383630032703,10.9180393612305,11.1160169807251,11.779599073672,10.8352913089307,10.0457004711389,11.0424134984272,10.6640977868784
Sword of Body and Mind,Scars of Mirrodin,14.0,13.3518539094879,9.29492311482775,8.3857468162267,7.666949296180481,9.28147923865821,8.03927913255904,8.37377765036867,8.34570792202971,8.88494018000217,9.63070171975947,10.5413085696894,10.2418101000856,9.69274181841643,11.2495490950369,12.0260963960052,12.0,12.057675100988199,13.006889489321999,13.0712539312164,12.735283200749599,12.5422720852792,13.3986891899841,11.642975565468,12.0915864106884,13.5730187940082,11.9884579719631,13.2196460672151
"Ulamog, the Infinite Gyre",Rise of the Eldrazi,11.465549348230901,13.0383093145479,18.4022000318845,18.3062247737925,22.3915181484589,31.9525911399016,30.2647559250846,28.597107294763898,31.222716459973196,41.924335232954604,43.1699331570152,45.0859099407238,45.89224866312429,39.1075178631913,36.831656141046295,30.818267345623003,21.6309277561059,21.8758766562718,20.516995355724603,18.8770431455528,18.6171123163272,18.924739945772604,19.6977195631287,19.4331109619863,22.3468229443509,26.506351096403105,20.9999636357025,28.541040369528197
